hex,datetime,callsign,tail number,squawk,altitude,latitude,longitude,type,heading,ground speed,vertical rate,emergency,source
ae07cf,2026-05-25 23:33:53.040087,MOOSE40,89-1191,3416,34000,32.1,33.2,C-17A Globemaster,,,,False,mode_s
ae11ea,2026-05-25 23:34:55.344573,UNK C/S,80-0137,Unavailable,13275,61.834923,-149.302521,E-3G AWACS,205,307,-2,False,mlat
ae1171,2026-05-25 23:34:55.344600,RCH125,02-1099,3256,34000,36.186172,-127.871758,C-17A Globemaster,249,452,0,False,adsb_icao
ae04c5,2026-05-25 23:34:55.344615,UNK C/S,59-1476,1565,30975,40.770683,-114.407501,KC-135R Stratotanker,165,468,,False,adsb_icao
ae07a8,2026-05-25 23:34:55.344621,UNK C/S,59-1508,7442,28000,37.52697,-113.77607,KC-135R Stratotanker,208,435,0,False,mlat
ae123a,2026-05-25 23:34:55.344648,RCH530,04-4128,0700,16425,14.145584,-17.811016,C-17A Globemaster,226,427,,False,adsb_icao
ae2fa7,2026-05-25 23:34:55.344655,RCH466,08-8195,0634,30000,50.577656,-5.556335,C-17A Globemaster,250,467,-64,False,adsb_icao
ae0363,2026-05-25 23:34:55.344668,UNK C/S,60-0341,4131,27000,43.814507,24.469872,KC-135R Stratotanker,233,462,-32,False,mlat
ae04e1,2026-05-25 23:34:55.344673,UNK C/S,58-0120,4137,26450,44.004478,24.835411,KC-135R Stratotanker,233,448,1217,False,mlat
06a249,2026-05-25 23:34:55.344681,LHOB270,A7-MAB,2056,12550,37.354614,27.517714,C-17A Globemaster,335,384,-1600,False,adsb_icao
ae1468,2026-05-25 23:34:55.344688,MOOSE68,07-7170,4403,34000,31.9,33.9,C-17A Globemaster,,,,False,mode_s
aed555,2026-05-25 23:34:55.344693,UNK C/S,19-46110,1701,25000,38.1,-123.8,KC-46A Pegasus,,,,False,mode_s
ae4f12,2026-05-25 23:34:55.344704,MOOSE67,10-0218,7424,33025,36.7,27.8,C-17A Globemaster,,,,False,mode_s
ae2faa,2026-05-25 23:34:55.344710,UNK C/S,08-8198,Unavailable,28000,22.1,-155.0,C-17A Globemaster,,,,False,mode_s
ae49c2,2026-05-25 23:34:55.344715,RCH525,09-9206,6623,35000,4.9,-0.1,C-17A Globemaster,,,,False,mode_s
ae07a9,2026-05-25 23:34:55.344719,UNK C/S,59-1515,4000,25975,38.2,-123.8,KC-135R Stratotanker,,,,False,mode_s
ae5fac,2026-05-25 23:34:55.344724,UNK C/S,19-46065,0711,17000,25.4,57.1,KC-46A Pegasus,,,,False,mode_s
ae0421,2026-05-25 23:34:55.344729,UNK C/S,58-0089,1744,25450,38.2,-123.8,KC-135R Stratotanker,,,,False,mode_s
ae4d69,2026-05-25 23:34:55.344737,RCH185,10-0216,1140,34000,33.1,33.2,C-17A Globemaster,,,,False,mode_s
ae0696,2026-05-25 23:34:55.344740,UNK C/S,63-8884,Unavailable,24975,47.1,-118.9,KC-135R Stratotanker,,,,False,mode_s
ae07cf,2026-05-25 23:34:55.344743,MOOSE40,89-1191,3416,34000,31.9,33.5,C-17A Globemaster,,,,False,mode_s
ae11ea,2026-05-25 23:35:56.713892,UNK C/S,80-0137,Unavailable,12650,61.780678,-149.386078,E-3G AWACS,218,350,-724,False,mlat
ae1171,2026-05-25 23:35:56.713917,RCH125,02-1099,3256,34000,36.141575,-128.020523,C-17A Globemaster,249,453,0,False,adsb_icao
ae04c5,2026-05-25 23:35:56.713930,UNK C/S,59-1476,1565,31000,40.639217,-114.363617,KC-135R Stratotanker,165,468,,False,adsb_icao
ae07a8,2026-05-25 23:35:56.713935,UNK C/S,59-1508,7442,27975,37.417416,-113.844589,KC-135R Stratotanker,207,438,17,False,mlat
ae123a,2026-05-25 23:35:56.713961,RCH530,04-4128,0700,17900,14.060486,-17.902222,C-17A Globemaster,226,426,,False,adsb_icao
ae2fa7,2026-05-25 23:35:56.713968,RCH466,08-8195,0634,30000,50.53299,-5.75539,C-17A Globemaster,250,468,-64,False,adsb_icao
ae0363,2026-05-25 23:35:56.713979,UNK C/S,60-0341,4131,27000,43.731239,24.320547,KC-135R Stratotanker,233,462,-192,False,mlat
ae04e1,2026-05-25 23:35:56.713983,UNK C/S,58-0120,4137,27000,43.931374,24.695297,KC-135R Stratotanker,234,485,-47,False,mlat
06a249,2026-05-25 23:35:56.713989,LHOB270,A7-MAB,2056,11650,37.45253,27.461964,C-17A Globemaster,335,369,-1376,False,adsb_icao
ae1468,2026-05-25 23:35:56.713996,MOOSE68,07-7170,4403,34000,31.9,33.9,C-17A Globemaster,,,,False,mode_s
aed555,2026-05-25 23:35:56.714000,UNK C/S,19-46110,1701,25000,38.2,-123.8,KC-46A Pegasus,,,,False,mode_s
ae4f12,2026-05-25 23:35:56.714009,MOOSE67,10-0218,7424,33025,35.1,29.9,C-17A Globemaster,,,,False,mode_s
ae49c2,2026-05-25 23:35:56.714015,RCH525,09-9206,6623,35000,4.9,-0.1,C-17A Globemaster,,,,False,mode_s
ae07a9,2026-05-25 23:35:56.714020,UNK C/S,59-1515,4000,26000,37.4,-123.6,KC-135R Stratotanker,,,,False,mode_s
ae5fac,2026-05-25 23:35:56.714025,UNK C/S,19-46065,0711,17000,25.4,57.0,KC-46A Pegasus,,,,False,mode_s
ae0421,2026-05-25 23:35:56.714029,UNK C/S,58-0089,1744,25450,38.2,-123.7,KC-135R Stratotanker,,,,False,mode_s
