hex,callsign,datetime,squawk,altitude,latitude,longitude,type,heading,ground speed,indicated airspeed
ae1449,RCH045,2025-05-24 15:31:18.971970,7376,36000,37.576859,-101.776176,C-17A Globemaster,249,406,
ae20c6,RCH878,2025-05-24 15:31:18.971978,1772,35000,42.244972,-78.678711,C-17A Globemaster,81,525,
ae1469,RCH676,2025-05-24 15:31:18.971984,1330,22525,44.524803,-69.273079,C-17A Globemaster,44,434,
ae1196,RCH333,2025-05-24 15:31:18.971990,2401,36000,48.614269,-65.536194,C-17A Globemaster,250,457,
ae145b,RCH813,2025-05-24 15:32:19.260094,3232,9425,38.147602,-121.710709,C-17A Globemaster,82,290,
ae1235,RCH863,2025-05-24 15:32:19.260109,727,36000,48.338959,-119.305496,C-17A Globemaster,288,433,
c2b3d7,CFC4069,2025-05-24 15:32:19.260116,1774,21400,53.262772,-112.255554,C-17A Globemaster,105,442,
ae1449,RCH045,2025-05-24 15:32:19.260123,7376,36000,37.53384,-101.901497,C-17A Globemaster,246,397,
ae20c6,RCH878,2025-05-24 15:32:19.260130,1772,34975,42.26833,-78.489479,C-17A Globemaster,81,525,
ae1469,RCH676,2025-05-24 15:32:19.260135,1330,23325,44.614059,-69.162079,C-17A Globemaster,43,426,
ae1196,RCH333,2025-05-24 15:32:19.260140,2401,36025,48.572231,-65.718552,C-17A Globemaster,250,462,
ae145b,RCH813,2025-05-24 15:33:19.659647,3232,10700,38.159332,-121.603531,C-17A Globemaster,83,331,
ae1235,RCH863,2025-05-24 15:33:19.659665,727,36000,48.37463,-119.473198,C-17A Globemaster,289,443,
c2b3d7,CFC4069,2025-05-24 15:33:19.659673,1774,23200,53.231461,-112.054085,C-17A Globemaster,104,454,
ae1449,RCH045,2025-05-24 15:33:19.659681,7376,36000,37.499104,-102.011986,C-17A Globemaster,247,398,
ae20c6,RCH878,2025-05-24 15:33:19.659688,1772,35000,42.29155,-78.293137,C-17A Globemaster,80,519,
ae1469,RCH676,2025-05-24 15:33:19.659694,1330,24025,44.703373,-69.04895,C-17A Globemaster,43,435,
ae1196,RCH333,2025-05-24 15:33:19.659700,2401,36000,48.529816,-65.902336,C-17A Globemaster,250,460,
