hex,datetime,callsign,tail number,squawk,altitude,latitude,longitude,type,heading,ground speed,vertical rate,emergency,source
ae04dc,2026-08-14 01:07:00.543293,UNK C/S,57-1461,3423,19000,30.923855,35.766678,KC-135R Stratotanker,74,436,0,False,mlat
ae068e,2026-08-14 01:07:00.543298,UNK C/S,62-3529,3416,21050,31.080786,35.939854,KC-135R Stratotanker,262,404,0,False,mlat
ae04eb,2026-08-14 01:07:00.543307,UNK C/S,61-0311,3561,24975,48.6,-113.1,KC-135R Stratotanker,,,,False,mode_s
ae0593,2026-08-14 01:07:00.543314,UNK C/S,58-0113,3576,26000,49.0,-112.5,KC-135R Stratotanker,,,,False,mode_s
aefa7d,2026-08-14 01:07:00.543319,UNK C/S,,Unavailable,Unavailable,27.3,-96.3,E-6B TACAMO,,,,False,mode_s
ae056b,2026-08-14 01:07:00.543324,RCH2036,86-0014,Unavailable,4200,31.3,-105.4,C-5M Galaxy,,,,False,mode_s
ae49c5,2026-08-14 01:08:00.850775,UNK C/S,09-9209,2231,9225,21.224785,-157.972855,C-17A Globemaster,239,267,-1204,False,mlat
c2afc7,2026-08-14 01:08:00.850797,CFC3603,177702,2444,300,21.325287,-157.955826,C-17A Globemaster,89,118,-704,False,adsb_icao
ae0483,2026-08-14 01:08:00.850807,UNK C/S,60-0339,4604,3875,64.96991,-147.587677,KC-135R Stratotanker,199,281,-370,False,mlat
afde25,2026-08-14 01:08:00.850812,UNK C/S,,0642,24000,39.257652,-123.41922,E-6B TACAMO,238,470,0,False,mlat
ae117c,2026-08-14 01:08:00.850819,UNK C/S,02-1110,4620,575,47.108646,-122.47332,C-17A Globemaster,356,108,-914,False,mlat
ae5e55,2026-08-14 01:08:00.850828,LBRTY52,169079,1200,0,34.115807,-119.122406,E-2 Hawkeye,0,0,-62,False,other
ae0572,2026-08-14 01:08:00.850855,RCH2038,86-0021,1624,35000,34.745983,-98.77562,C-5M Galaxy,44,483,-64,False,adsb_icao
